Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
0,0.0,6.202057517942835,0.00271283348518439,6.204010009765625,0.002808973523012052
1,1.5070229474239933e-05,5.4696012246804155,0.0613174991163074,5.467358708381653,0.06103447793672482
2,3.0140458948479866e-05,5.174773239698566,0.05997135142078165,5.1632689237594604,0.0601040314262112
3,4.52106884227198e-05,4.998534960824935,0.05939037566546534,4.985353191693624,0.061160956819852196
4,6.028091789695973e-05,4.545463257148618,0.07514108375447695,4.518227855364482,0.07268269856770833
5,7.535114737119967e-05,4.259142774050353,0.07887829644758193,4.212343315283458,0.07972513822217782
6,9.04213768454396e-05,4.1175365291657995,0.08507021895197571,4.098914464314778,0.08780314152439435
7,0.00010549160631967953,4.0342553404511,0.08707542289964489,3.9912158449490867,0.086362033461531
8,0.00012056183579391947,3.9623581229663287,0.09189570805088418,3.9291102290153503,0.0912044948587815
9,0.0001356320652681594,3.8985044409017093,0.09398950636386871,3.891722877820333,0.09427015483379364
10,0.00015070229474239933,3.8567374807889343,0.0974555287937649,3.8166160186131797,0.09507208938399951
11,0.00016577252421663927,3.8064504685949108,0.09870282316305598,3.8162322640419006,0.09862433560192585
12,0.0001808427536908792,3.7649320188115856,0.10144428444690391,3.7911020318667092,0.1007734506080548
13,0.00019591298316511913,3.708883340241479,0.10416482413401369,3.704052825768789,0.10272928886115551
14,0.00021098321263935907,3.6920803570356524,0.10425375316475259,3.6989928682645163,0.10660434328019619
15,0.000226053442113599,3.6103932153983194,0.11264908961096748,3.6323572794596353,0.11870252837737401
16,0.00024112367158783893,3.5684653188361497,0.1164669823206839,3.5955791076024375,0.11680196163554986
17,0.0002561939010620789,3.506276982729552,0.12295455265729154,3.5372443397839866,0.12120395215849082
18,0.0002712641305363188,3.468878863287754,0.13082904295354594,3.451826512813568,0.13686489562193552
19,0.00028633436001055876,3.3933943725023115,0.15057654507824633,3.4084643125534058,0.15095316618680954
20,0.00030140458948479866,3.2721766839261917,0.18330824326296322,3.2829963167508445,0.18854030966758728
21,0.0003164748189590386,3.189498068856411,0.19369790764128575,3.192908227443695,0.19763251394033432
22,0.00033154504843327853,3.1371373739398893,0.20090873515019653,3.1509790619214377,0.20260891318321228
23,0.0003466152779075185,3.107136800640919,0.20212013237789028,3.056358814239502,0.21660291900237402
24,0.0003616855073817584,3.101797404836436,0.20193188771849774,3.0150195161501565,0.21809251606464386
25,0.00037675573685599836,3.04866123590313,0.20661106925518785,3.016232430934906,0.22136366118987402
26,0.00039182596633023826,3.023354561602483,0.20896247737720364,2.9501317342122397,0.22530076776941618
27,0.0004068961958044782,2.9748179326291946,0.2154061251976451,2.973418116569519,0.21865166475375494
28,0.00042196642527871813,2.976324511356041,0.21530302699472084,2.9884546597798667,0.21880357588330904
29,0.0004370366547529581,2.960652777406036,0.21645787773562258,2.980710983276367,0.2212012397746245
